Name,Explanation,Parent
Not happening,Denial that climate change is occurring or significant.,
Trend denial,Claims that temperature or sea‑level trends are nonexistent or negligible.,Not happening
Low climate sensitivity,Argument that the climate system will not warm substantially because feedbacks are weak or negative.,Not happening
No observed impacts,"Assertion that species, ecosystems, or societies show no climate‑related harm.",Not happening
Not us,Denial that human activities are the primary driver of climate change.,
Natural variability,Claim that climate fluctuations are entirely natural and unrelated to emissions.,Not us
Solar/astronomical causes,Attribution of warming to solar cycles or other celestial factors.,Not us
CO₂ beneficial,Argument that carbon dioxide is a useful nutrient or not a pollutant.,Not us
Not bad,Denial that climate change has adverse consequences for nature or society.,
Species thriving,Claim that flora and fauna are benefiting from a warmer climate.,Not bad
Economic benefits,Assertion that climate change yields net economic gains.,Not bad
Solutions won’t work,Skepticism that mitigation or adaptation measures are ineffective or counter‑productive.,
Policy harmful,"Argument that climate policies damage the economy, environment, or society.",Solutions won’t work
Policy ineffective,Claim that existing climate policies are poorly designed and fail to achieve goals.,Solutions won’t work
Techno‑optimism denial,Belief that clean‑energy technologies cannot deliver needed emissions reductions.,Solutions won’t work
Energy necessity,Stance that societies must rely on fossil fuels or nuclear to meet energy demand.,Solutions won’t work
Science unreliable,"Denial that climate science, its data, or its practitioners are trustworthy.",
Data/model uncertainty,"Critique that climate data, methods, or models are flawed or uncertain.",Science unreliable
Movement corrupt,"Accusation that climate activists or NGOs are alarmist, profit‑driven, or dishonest.",Science unreliable
Scientists biased,Claim that climate researchers have conflicts of interest or agenda‑driven results.,Science unreliable
